publicid,TotalCount,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9
2019p666560,22,0,0,12,10,0,0,0,0,0
2019p666547,47,0,0,26,19,2,0,0,0,0
2019p666544,46,0,0,25,19,2,0,0,0,0
2019p666456,1,0,0,0,1,0,0,0,0,0
2019p666451,1,0,0,0,1,0,0,0,0,0
2019p666367,1,0,0,1,0,0,0,0,0,0
2019p666364,1,0,0,1,0,0,0,0,0,0
2019p666362,1,0,0,1,0,0,0,0,0,0
2019p666359,1,0,0,1,0,0,0,0,0,0
2019p666304,1,0,0,0,1,0,0,0,0,0
2019p666275,2,0,0,0,1,1,0,0,0,0
2019p666258,4,0,0,3,0,1,0,0,0,0
2019p666230,10,0,0,10,0,0,0,0,0,0
2019p666207,1,0,0,1,0,0,0,0,0,0
2019p666200,1,0,0,1,0,0,0,0,0,0
2019p666190,1,0,0,1,0,0,0,0,0,0
2019p666176,2,0,0,1,0,1,0,0,0,0
2019p666170,3,0,0,1,0,1,1,0,0,0
2019p666159,4,0,0,1,1,1,1,0,0,0
2019p666154,6,0,0,3,1,1,1,0,0,0
2019p666144,6,0,0,4,1,0,1,0,0,0
